TITLE  Energy scan of MOL-A by MOL-B
TITLE  He1 and He2
TITLE  Basis aug-cc-pVTZ and type MC
TITLE  Midbonds NONE and type weighted
TITLE  CalculationType: SAPT(DFT) : Energy scan with Cartesian AUX
MOL-A  He1
MOL-B  He2
AUX-BASIS-TYPE-A  DC
AUX-BASIS-TYPE-B  DC
POINTS       4
ENERGY-UNITS  CM-1
LENGTH-UNITS  BOHR
ANGLE-UNITS  DEGREES
LABELS    INDEX         Rx            Ry            Rz            alpha         Nx            Ny            Nz             E(1)elst       E(2)ind        E(2)disp       E(1)exch       E(2)exind      E(2)exdisp     TotOverlap     Elst-Asymp     Ind2-Asymp     Disp-Asymp     Delta     
       1  0.0000000E+00  0.0000000E+00  0.4500000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1957368E+02 -0.1969265E+00 -0.4444262E+02  0.1141137E+03  0.4326280E+00  0.1064119E+01  0.1109171E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       2  0.0000000E+00  0.0000000E+00  0.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.5151759E+01 -0.2545573E-01 -0.2359192E+02  0.2956219E+02  0.5462962E-01  0.3320149E+00  0.2897915E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       3  0.0000000E+00  0.0000000E+00  0.5600000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1000291E+01 -0.3531644E-02 -0.1179890E+02  0.5893590E+01  0.4592159E-02  0.7092414E-01  0.6199548E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       4  0.0000000E+00  0.0000000E+00  0.6000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.3348217E+00 -0.2809290E-02 -0.7728426E+01  0.2139441E+01  0.9499262E-03  0.2354581E-01  0.2377861E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
END
END-FILE
