TITLE  Energy scan of MOL-A by MOL-B
TITLE  He1 and He2
TITLE  Basis aug-cc-pVTZ and type MC
TITLE  Midbonds NONE and type weighted
TITLE  CalculationType: SAPT(DFT) : Energy scan with Cartesian AUX
MOL-A  He1
MOL-B  He2
AUX-BASIS-TYPE-A  MC
AUX-BASIS-TYPE-B  MC
POINTS       4
ENERGY-UNITS  CM-1
LENGTH-UNITS  BOHR
ANGLE-UNITS  DEGREES
LABELS    INDEX         Rx            Ry            Rz            alpha         Nx            Ny            Nz             E(1)elst       E(2)ind        E(2)disp       E(1)exch       E(2)exind      E(2)exdisp     TotOverlap     Elst-Asymp     Ind2-Asymp     Disp-Asymp     Delta     
       1  0.0000000E+00  0.0000000E+00  0.4500000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1248201E+02 -0.2136388E+00 -0.4387669E+02  0.1141214E+03  0.4176320E+00  0.1051262E+01  0.1290125E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       2  0.0000000E+00  0.0000000E+00  0.5000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1824115E+01 -0.2995202E-01 -0.2316436E+02  0.2956436E+02  0.4449706E-01  0.3252067E+00  0.3860611E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       3  0.0000000E+00  0.0000000E+00  0.5600000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2700944E+01 -0.2642874E-02 -0.1147316E+02  0.5893814E+01  0.2236060E-02  0.6895906E-01  0.6439685E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
       4  0.0000000E+00  0.0000000E+00  0.6000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1209332E+01 -0.5066661E-03 -0.7452870E+01  0.2139461E+01  0.8871220E-04  0.2278378E-01  0.4933821E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
END
END-FILE
