#   pt       r            w            wL          Qw            A            b           IP
     1   0.0000E+00   0.9711E+02   0.2741E+01   0.5135E+01   0.9711E+02  -0.0000E+00   0.0000E+00
     2   0.2000E-01   0.9191E+02   0.2609E+01   0.5132E+01   0.1024E+03   0.5415E+01   0.3665E+01
     3   0.4000E-01   0.7875E+02   0.2483E+01   0.5112E+01   0.1165E+03   0.9788E+01   0.1197E+02
     4   0.6000E-01   0.6292E+02   0.2363E+01   0.5068E+01   0.1315E+03   0.1229E+02   0.1888E+02
     5   0.8000E-01   0.4883E+02   0.2249E+01   0.5000E+01   0.1357E+03   0.1277E+02   0.2039E+02
     6   0.1000E+00   0.3805E+02   0.2141E+01   0.4912E+01   0.1273E+03   0.1207E+02   0.1822E+02
     7   0.1200E+00   0.3013E+02   0.2037E+01   0.4810E+01   0.1176E+03   0.1135E+02   0.1611E+02
     8   0.1400E+00   0.2408E+02   0.1939E+01   0.4695E+01   0.1146E+03   0.1114E+02   0.1552E+02
     9   0.1600E+00   0.1924E+02   0.1845E+01   0.4574E+01   0.1174E+03   0.1130E+02   0.1596E+02
    10   0.1800E+00   0.1532E+02   0.1756E+01   0.4449E+01   0.1218E+03   0.1152E+02   0.1658E+02
    11   0.2000E+00   0.1215E+02   0.1672E+01   0.4326E+01   0.1241E+03   0.1162E+02   0.1687E+02
    12   0.2200E+00   0.9634E+01   0.1591E+01   0.4206E+01   0.1227E+03   0.1157E+02   0.1672E+02
    13   0.2400E+00   0.7656E+01   0.1514E+01   0.4092E+01   0.1182E+03   0.1140E+02   0.1626E+02
    14   0.2600E+00   0.6107E+01   0.1441E+01   0.3984E+01   0.1121E+03   0.1119E+02   0.1565E+02
    15   0.2800E+00   0.4894E+01   0.1371E+01   0.3884E+01   0.1055E+03   0.1097E+02   0.1504E+02
    16   0.3000E+00   0.3938E+01   0.1305E+01   0.3791E+01   0.9936E+02   0.1076E+02   0.1447E+02
    17   0.3200E+00   0.3182E+01   0.1242E+01   0.3706E+01   0.9354E+02   0.1057E+02   0.1395E+02
