#   pt       r            w            wL          Qw            A            b           IP
     1   0.0000E+00   0.9711E+02   0.2759E+01   0.5129E+01   0.9711E+02  -0.0000E+00   0.0000E+00
     2   0.2000E-01   0.9190E+02   0.2626E+01   0.5126E+01   0.1024E+03   0.5416E+01   0.3666E+01
     3   0.4000E-01   0.7874E+02   0.2499E+01   0.5107E+01   0.1165E+03   0.9789E+01   0.1198E+02
     4   0.6000E-01   0.6292E+02   0.2379E+01   0.5062E+01   0.1315E+03   0.1229E+02   0.1888E+02
     5   0.8000E-01   0.4883E+02   0.2264E+01   0.4994E+01   0.1357E+03   0.1277E+02   0.2040E+02
     6   0.1000E+00   0.3805E+02   0.2154E+01   0.4907E+01   0.1273E+03   0.1207E+02   0.1822E+02
     7   0.1200E+00   0.3012E+02   0.2050E+01   0.4804E+01   0.1176E+03   0.1135E+02   0.1611E+02
     8   0.1400E+00   0.2407E+02   0.1952E+01   0.4690E+01   0.1146E+03   0.1114E+02   0.1552E+02
     9   0.1600E+00   0.1924E+02   0.1857E+01   0.4568E+01   0.1174E+03   0.1130E+02   0.1597E+02
    10   0.1800E+00   0.1531E+02   0.1768E+01   0.4444E+01   0.1218E+03   0.1152E+02   0.1659E+02
    11   0.2000E+00   0.1215E+02   0.1682E+01   0.4320E+01   0.1241E+03   0.1162E+02   0.1688E+02
    12   0.2200E+00   0.9630E+01   0.1601E+01   0.4200E+01   0.1228E+03   0.1157E+02   0.1673E+02
    13   0.2400E+00   0.7652E+01   0.1524E+01   0.4086E+01   0.1183E+03   0.1141E+02   0.1627E+02
    14   0.2600E+00   0.6103E+01   0.1450E+01   0.3979E+01   0.1121E+03   0.1120E+02   0.1567E+02
    15   0.2800E+00   0.4890E+01   0.1380E+01   0.3879E+01   0.1056E+03   0.1097E+02   0.1505E+02
    16   0.3000E+00   0.3935E+01   0.1314E+01   0.3786E+01   0.9943E+02   0.1077E+02   0.1449E+02
    17   0.3200E+00   0.3179E+01   0.1250E+01   0.3701E+01   0.9363E+02   0.1057E+02   0.1397E+02
    18   0.3400E+00   0.2578E+01   0.1190E+01   0.3623E+01   0.8788E+02   0.1038E+02   0.1347E+02
    19   0.3600E+00   0.2099E+01   0.1132E+01   0.3551E+01   0.8169E+02   0.1017E+02   0.1293E+02
    20   0.3800E+00   0.1717E+01   0.1078E+01   0.3486E+01   0.7462E+02   0.9927E+01   0.1232E+02
    21   0.4000E+00   0.1412E+01   0.1026E+01   0.3426E+01   0.6648E+02   0.9630E+01   0.1159E+02
    22   0.4200E+00   0.1168E+01   0.9762E+00   0.3372E+01   0.5733E+02   0.9270E+01   0.1074E+02
    23   0.4400E+00   0.9747E+00   0.9291E+00   0.3322E+01   0.4759E+02   0.8837E+01   0.9761E+01
    24   0.4600E+00   0.8208E+00   0.8842E+00   0.3277E+01   0.3787E+02   0.8329E+01   0.8672E+01
    25   0.4800E+00   0.6988E+00   0.8416E+00   0.3235E+01   0.2886E+02   0.7752E+01   0.7511E+01
    26   0.5000E+00   0.6022E+00   0.8009E+00   0.3196E+01   0.2113E+02   0.7116E+01   0.6329E+01
    27   0.5200E+00   0.5259E+00   0.7623E+00   0.3159E+01   0.1497E+02   0.6440E+01   0.5184E+01
    28   0.5400E+00   0.4655E+00   0.7255E+00   0.3124E+01   0.1038E+02   0.5749E+01   0.4131E+01
    29   0.5600E+00   0.4178E+00   0.6905E+00   0.3091E+01   0.7138E+01   0.5068E+01   0.3211E+01
    30   0.5800E+00   0.3800E+00   0.6571E+00   0.3058E+01   0.4939E+01   0.4422E+01   0.2444E+01
    31   0.6000E+00   0.3499E+00   0.6254E+00   0.3026E+01   0.3484E+01   0.3830E+01   0.1834E+01
    32   0.6200E+00   0.3259E+00   0.5952E+00   0.2995E+01   0.2531E+01   0.3306E+01   0.1367E+01
    33   0.6400E+00   0.3064E+00   0.5665E+00   0.2963E+01   0.1907E+01   0.2856E+01   0.1020E+01
    34   0.6600E+00   0.2905E+00   0.5391E+00   0.2932E+01   0.1494E+01   0.2481E+01   0.7693E+00
    35   0.6800E+00   0.2774E+00   0.5131E+00   0.2900E+01   0.1217E+01   0.2175E+01   0.5915E+00
    36   0.7000E+00   0.2662E+00   0.4883E+00   0.2867E+01   0.1030E+01   0.1933E+01   0.4671E+00
    37   0.7200E+00   0.2566E+00   0.4648E+00   0.2834E+01   0.9022E+00   0.1746E+01   0.3811E+00
    38   0.7400E+00   0.2482E+00   0.4423E+00   0.2800E+01   0.8146E+00   0.1606E+01   0.3225E+00
    39   0.7600E+00   0.2406E+00   0.4210E+00   0.2766E+01   0.7553E+00   0.1505E+01   0.2832E+00
    40   0.7800E+00   0.2336E+00   0.4007E+00   0.2730E+01   0.7163E+00   0.1436E+01   0.2579E+00
    41   0.8000E+00   0.2271E+00   0.3813E+00   0.2694E+01   0.6924E+00   0.1393E+01   0.2426E+00
    42   0.8200E+00   0.2209E+00   0.3629E+00   0.2657E+01   0.6800E+00   0.1371E+01   0.2349E+00
    43   0.8400E+00   0.2150E+00   0.3454E+00   0.2619E+01   0.6767E+00   0.1365E+01   0.2329E+00
    44   0.8600E+00   0.2092E+00   0.3287E+00   0.2581E+01   0.6808E+00   0.1372E+01   0.2354E+00
    45   0.8800E+00   0.2035E+00   0.3129E+00   0.2542E+01   0.6910E+00   0.1389E+01   0.2412E+00
    46   0.9000E+00   0.1979E+00   0.2978E+00   0.2502E+01   0.7063E+00   0.1414E+01   0.2499E+00
    47   0.9200E+00   0.1923E+00   0.2834E+00   0.2461E+01   0.7260E+00   0.1444E+01   0.2607E+00
    48   0.9400E+00   0.1868E+00   0.2697E+00   0.2420E+01   0.7496E+00   0.1478E+01   0.2732E+00
    49   0.9600E+00   0.1812E+00   0.2567E+00   0.2378E+01   0.7766E+00   0.1516E+01   0.2872E+00
    50   0.9800E+00   0.1758E+00   0.2443E+00   0.2336E+01   0.8066E+00   0.1555E+01   0.3021E+00
    51   0.1000E+01   0.1703E+00   0.2325E+00   0.2293E+01   0.8391E+00   0.1595E+01   0.3179E+00
    52   0.1020E+01   0.1649E+00   0.2213E+00   0.2250E+01   0.8740E+00   0.1635E+01   0.3342E+00
    53   0.1040E+01   0.1595E+00   0.2106E+00   0.2207E+01   0.9110E+00   0.1675E+01   0.3508E+00
    54   0.1060E+01   0.1542E+00   0.2004E+00   0.2164E+01   0.9497E+00   0.1715E+01   0.3676E+00
    55   0.1080E+01   0.1490E+00   0.1908E+00   0.2120E+01   0.9900E+00   0.1754E+01   0.3845E+00
    56   0.1100E+01   0.1438E+00   0.1815E+00   0.2076E+01   0.1032E+01   0.1792E+01   0.4012E+00
    57   0.1120E+01   0.1387E+00   0.1728E+00   0.2033E+01   0.1074E+01   0.1828E+01   0.4178E+00
    58   0.1140E+01   0.1336E+00   0.1644E+00   0.1989E+01   0.1118E+01   0.1863E+01   0.4341E+00
    59   0.1160E+01   0.1287E+00   0.1565E+00   0.1945E+01   0.1163E+01   0.1897E+01   0.4501E+00
    60   0.1180E+01   0.1239E+00   0.1489E+00   0.1902E+01   0.1208E+01   0.1930E+01   0.4657E+00
    61   0.1200E+01   0.1191E+00   0.1418E+00   0.1859E+01   0.1254E+01   0.1961E+01   0.4809E+00
    62   0.1220E+01   0.1145E+00   0.1349E+00   0.1816E+01   0.1300E+01   0.1991E+01   0.4957E+00
    63   0.1240E+01   0.1100E+00   0.1284E+00   0.1773E+01   0.1347E+01   0.2020E+01   0.5101E+00
    64   0.1260E+01   0.1056E+00   0.1222E+00   0.1731E+01   0.1394E+01   0.2047E+01   0.5240E+00
    65   0.1280E+01   0.1014E+00   0.1163E+00   0.1689E+01   0.1441E+01   0.2074E+01   0.5375E+00
    66   0.1300E+01   0.9723E-01   0.1107E+00   0.1647E+01   0.1488E+01   0.2099E+01   0.5505E+00
