#   pt       r            w            wL          Qw            A            b           IP
     1   0.0000E+00   0.2170E+03   0.6825E+01   0.8436E+01   0.2170E+03  -0.0000E+00   0.0000E+00
     2   0.2000E-01   0.2024E+03   0.6457E+01   0.8429E+01   0.2322E+03   0.6861E+01   0.5885E+01
     3   0.4000E-01   0.1660E+03   0.6108E+01   0.8386E+01   0.2758E+03   0.1268E+02   0.2011E+02
     4   0.6000E-01   0.1236E+03   0.5779E+01   0.8296E+01   0.3307E+03   0.1640E+02   0.3363E+02
     5   0.8000E-01   0.8777E+02   0.5467E+01   0.8168E+01   0.3523E+03   0.1737E+02   0.3772E+02
     6   0.1000E+00   0.6258E+02   0.5172E+01   0.8018E+01   0.3178E+03   0.1625E+02   0.3301E+02
     7   0.1200E+00   0.4591E+02   0.4893E+01   0.7856E+01   0.2717E+03   0.1482E+02   0.2744E+02
     8   0.1400E+00   0.3438E+02   0.4629E+01   0.7688E+01   0.2539E+03   0.1428E+02   0.2550E+02
     9   0.1600E+00   0.2579E+02   0.4380E+01   0.7519E+01   0.2648E+03   0.1456E+02   0.2649E+02
    10   0.1800E+00   0.1918E+02   0.4143E+01   0.7358E+01   0.2865E+03   0.1502E+02   0.2821E+02
    11   0.2000E+00   0.1417E+02   0.3920E+01   0.7208E+01   0.2967E+03   0.1521E+02   0.2892E+02
    12   0.2200E+00   0.1047E+02   0.3709E+01   0.7074E+01   0.2795E+03   0.1493E+02   0.2786E+02
    13   0.2400E+00   0.7821E+01   0.3508E+01   0.6953E+01   0.2361E+03   0.1420E+02   0.2520E+02
    14   0.2600E+00   0.5947E+01   0.3319E+01   0.6846E+01   0.1817E+03   0.1315E+02   0.2162E+02
    15   0.2800E+00   0.4626E+01   0.3140E+01   0.6751E+01   0.1318E+03   0.1196E+02   0.1789E+02
    16   0.3000E+00   0.3685E+01   0.2971E+01   0.6663E+01   0.9342E+02   0.1078E+02   0.1451E+02
    17   0.3200E+00   0.3005E+01   0.2811E+01   0.6583E+01   0.6612E+02   0.9660E+01   0.1166E+02
    18   0.3400E+00   0.2503E+01   0.2659E+01   0.6508E+01   0.4703E+02   0.8627E+01   0.9304E+01
    19   0.3600E+00   0.2127E+01   0.2516E+01   0.6437E+01   0.3350E+02   0.7658E+01   0.7330E+01
    20   0.3800E+00   0.1842E+01   0.2380E+01   0.6369E+01   0.2378E+02   0.6731E+01   0.5664E+01
    21   0.4000E+00   0.1624E+01   0.2252E+01   0.6303E+01   0.1682E+02   0.5843E+01   0.4268E+01
    22   0.4200E+00   0.1458E+01   0.2130E+01   0.6239E+01   0.1193E+02   0.5005E+01   0.3131E+01
    23   0.4400E+00   0.1329E+01   0.2015E+01   0.6174E+01   0.8574E+01   0.4237E+01   0.2244E+01
    24   0.4600E+00   0.1230E+01   0.1906E+01   0.6109E+01   0.6330E+01   0.3562E+01   0.1586E+01
    25   0.4800E+00   0.1152E+01   0.1804E+01   0.6043E+01   0.4850E+01   0.2995E+01   0.1121E+01
    26   0.5000E+00   0.1090E+01   0.1706E+01   0.5975E+01   0.3884E+01   0.2541E+01   0.8073E+00
    27   0.5200E+00   0.1040E+01   0.1614E+01   0.5906E+01   0.3259E+01   0.2197E+01   0.6035E+00
    28   0.5400E+00   0.9975E+00   0.1527E+01   0.5834E+01   0.2863E+01   0.1952E+01   0.4764E+00
    29   0.5600E+00   0.9610E+00   0.1445E+01   0.5760E+01   0.2621E+01   0.1792E+01   0.4013E+00
    30   0.5800E+00   0.9281E+00   0.1367E+01   0.5682E+01   0.2488E+01   0.1700E+01   0.3614E+00
    31   0.6000E+00   0.8975E+00   0.1293E+01   0.5603E+01   0.2433E+01   0.1662E+01   0.3455E+00
    32   0.6200E+00   0.8682E+00   0.1223E+01   0.5520E+01   0.2437E+01   0.1664E+01   0.3463E+00
    33   0.6400E+00   0.8395E+00   0.1157E+01   0.5435E+01   0.2484E+01   0.1695E+01   0.3591E+00
    34   0.6600E+00   0.8112E+00   0.1095E+01   0.5347E+01   0.2565E+01   0.1744E+01   0.3802E+00
    35   0.6800E+00   0.7829E+00   0.1036E+01   0.5257E+01   0.2671E+01   0.1805E+01   0.4072E+00
    36   0.7000E+00   0.7546E+00   0.9801E+00   0.5165E+01   0.2797E+01   0.1871E+01   0.4378E+00
    37   0.7200E+00   0.7264E+00   0.9272E+00   0.5072E+01   0.2936E+01   0.1940E+01   0.4703E+00
    38   0.7400E+00   0.6983E+00   0.8772E+00   0.4976E+01   0.3083E+01   0.2007E+01   0.5035E+00
    39   0.7600E+00   0.6704E+00   0.8299E+00   0.4879E+01   0.3235E+01   0.2071E+01   0.5361E+00
    40   0.7800E+00   0.6428E+00   0.7851E+00   0.4782E+01   0.3387E+01   0.2131E+01   0.5674E+00
    41   0.8000E+00   0.6157E+00   0.7428E+00   0.4683E+01   0.3537E+01   0.2185E+01   0.5969E+00
    42   0.8200E+00   0.5890E+00   0.7027E+00   0.4584E+01   0.3681E+01   0.2235E+01   0.6243E+00
    43   0.8400E+00   0.5630E+00   0.6648E+00   0.4484E+01   0.3819E+01   0.2279E+01   0.6492E+00
    44   0.8600E+00   0.5377E+00   0.6290E+00   0.4384E+01   0.3949E+01   0.2318E+01   0.6718E+00
    45   0.8800E+00   0.5132E+00   0.5950E+00   0.4284E+01   0.4070E+01   0.2353E+01   0.6921E+00
    46   0.9000E+00   0.4894E+00   0.5629E+00   0.4184E+01   0.4182E+01   0.2384E+01   0.7102E+00
    47   0.9200E+00   0.4665E+00   0.5326E+00   0.4085E+01   0.4285E+01   0.2410E+01   0.7262E+00
    48   0.9400E+00   0.4445E+00   0.5038E+00   0.3986E+01   0.4380E+01   0.2434E+01   0.7405E+00
    49   0.9600E+00   0.4233E+00   0.4767E+00   0.3888E+01   0.4467E+01   0.2455E+01   0.7532E+00
    50   0.9800E+00   0.4029E+00   0.4510E+00   0.3790E+01   0.4548E+01   0.2473E+01   0.7645E+00
    51   0.1000E+01   0.3834E+00   0.4266E+00   0.3693E+01   0.4622E+01   0.2490E+01   0.7747E+00
    52   0.1020E+01   0.3647E+00   0.4036E+00   0.3597E+01   0.4691E+01   0.2504E+01   0.7839E+00
    53   0.1040E+01   0.3469E+00   0.3818E+00   0.3502E+01   0.4756E+01   0.2518E+01   0.7923E+00
    54   0.1060E+01   0.3298E+00   0.3613E+00   0.3409E+01   0.4818E+01   0.2530E+01   0.8000E+00
    55   0.1080E+01   0.3135E+00   0.3418E+00   0.3316E+01   0.4877E+01   0.2541E+01   0.8072E+00
    56   0.1100E+01   0.2979E+00   0.3233E+00   0.3225E+01   0.4934E+01   0.2552E+01   0.8140E+00
    57   0.1120E+01   0.2831E+00   0.3059E+00   0.3135E+01   0.4989E+01   0.2562E+01   0.8205E+00
    58   0.1140E+01   0.2689E+00   0.2894E+00   0.3046E+01   0.5044E+01   0.2572E+01   0.8267E+00
    59   0.1160E+01   0.2554E+00   0.2738E+00   0.2959E+01   0.5099E+01   0.2581E+01   0.8327E+00
    60   0.1180E+01   0.2425E+00   0.2590E+00   0.2874E+01   0.5153E+01   0.2590E+01   0.8385E+00
    61   0.1200E+01   0.2303E+00   0.2450E+00   0.2790E+01   0.5208E+01   0.2599E+01   0.8443E+00
    62   0.1220E+01   0.2186E+00   0.2318E+00   0.2707E+01   0.5263E+01   0.2608E+01   0.8499E+00
    63   0.1240E+01   0.2074E+00   0.2193E+00   0.2626E+01   0.5318E+01   0.2616E+01   0.8555E+00
    64   0.1260E+01   0.1969E+00   0.2075E+00   0.2547E+01   0.5375E+01   0.2625E+01   0.8611E+00
    65   0.1280E+01   0.1868E+00   0.1963E+00   0.2469E+01   0.5432E+01   0.2633E+01   0.8665E+00
    66   0.1300E+01   0.1772E+00   0.1857E+00   0.2393E+01   0.5490E+01   0.2641E+01   0.8720E+00
    67   0.1320E+01   0.1680E+00   0.1757E+00   0.2318E+01   0.5549E+01   0.2649E+01   0.8774E+00
    68   0.1340E+01   0.1594E+00   0.1662E+00   0.2246E+01   0.5608E+01   0.2657E+01   0.8827E+00
    69   0.1360E+01   0.1511E+00   0.1573E+00   0.2175E+01   0.5669E+01   0.2665E+01   0.8879E+00
    70   0.1380E+01   0.1432E+00   0.1488E+00   0.2105E+01   0.5729E+01   0.2673E+01   0.8931E+00
    71   0.1400E+01   0.1358E+00   0.1407E+00   0.2037E+01   0.5791E+01   0.2681E+01   0.8983E+00
    72   0.1420E+01   0.1287E+00   0.1332E+00   0.1971E+01   0.5852E+01   0.2688E+01   0.9033E+00
    73   0.1440E+01   0.1219E+00   0.1260E+00   0.1907E+01   0.5914E+01   0.2696E+01   0.9083E+00
    74   0.1460E+01   0.1155E+00   0.1192E+00   0.1844E+01   0.5976E+01   0.2703E+01   0.9131E+00
    75   0.1480E+01   0.1094E+00   0.1127E+00   0.1783E+01   0.6038E+01   0.2710E+01   0.9179E+00
    76   0.1500E+01   0.1037E+00   0.1067E+00   0.1724E+01   0.6100E+01   0.2717E+01   0.9225E+00
    77   0.1520E+01   0.9817E-01   0.1009E+00   0.1666E+01   0.6162E+01   0.2723E+01   0.9270E+00
    78   0.1540E+01   0.9296E-01   0.9547E-01   0.1610E+01   0.6223E+01   0.2730E+01   0.9314E+00
    79   0.1560E+01   0.8802E-01   0.9032E-01   0.1555E+01   0.6283E+01   0.2736E+01   0.9357E+00
    80   0.1580E+01   0.8333E-01   0.8545E-01   0.1502E+01   0.6342E+01   0.2742E+01   0.9397E+00
    81   0.1600E+01   0.7888E-01   0.8084E-01   0.1451E+01   0.6400E+01   0.2748E+01   0.9437E+00
    82   0.1620E+01   0.7465E-01   0.7648E-01   0.1401E+01   0.6457E+01   0.2753E+01   0.9474E+00
    83   0.1640E+01   0.7065E-01   0.7236E-01   0.1352E+01   0.6512E+01   0.2758E+01   0.9510E+00
    84   0.1660E+01   0.6686E-01   0.6845E-01   0.1305E+01   0.6565E+01   0.2763E+01   0.9544E+00
    85   0.1680E+01   0.6326E-01   0.6476E-01   0.1260E+01   0.6616E+01   0.2768E+01   0.9577E+00
    86   0.1700E+01   0.5985E-01   0.6127E-01   0.1215E+01   0.6665E+01   0.2772E+01   0.9607E+00
    87   0.1720E+01   0.5662E-01   0.5796E-01   0.1173E+01   0.6711E+01   0.2776E+01   0.9635E+00
    88   0.1740E+01   0.5356E-01   0.5484E-01   0.1131E+01   0.6754E+01   0.2780E+01   0.9660E+00
    89   0.1760E+01   0.5066E-01   0.5188E-01   0.1091E+01   0.6794E+01   0.2783E+01   0.9684E+00
    90   0.1780E+01   0.4792E-01   0.4908E-01   0.1052E+01   0.6831E+01   0.2786E+01   0.9705E+00
    91   0.1800E+01   0.4532E-01   0.4643E-01   0.1015E+01   0.6863E+01   0.2789E+01   0.9723E+00
    92   0.1820E+01   0.4286E-01   0.4393E-01   0.9785E+00   0.6892E+01   0.2791E+01   0.9740E+00
    93   0.1840E+01   0.4053E-01   0.4156E-01   0.9434E+00   0.6917E+01   0.2793E+01   0.9753E+00
    94   0.1860E+01   0.3833E-01   0.3932E-01   0.9095E+00   0.6936E+01   0.2795E+01   0.9764E+00
    95   0.1880E+01   0.3624E-01   0.3720E-01   0.8767E+00   0.6951E+01   0.2796E+01   0.9772E+00
    96   0.1900E+01   0.3427E-01   0.3519E-01   0.8451E+00   0.6961E+01   0.2797E+01   0.9777E+00
    97   0.1920E+01   0.3241E-01   0.3329E-01   0.8145E+00   0.6966E+01   0.2797E+01   0.9779E+00
    98   0.1940E+01   0.3064E-01   0.3150E-01   0.7850E+00   0.6965E+01   0.2797E+01   0.9779E+00
    99   0.1960E+01   0.2898E-01   0.2980E-01   0.7565E+00   0.6958E+01   0.2797E+01   0.9776E+00
   100   0.1980E+01   0.2740E-01   0.2819E-01   0.7290E+00   0.6946E+01   0.2796E+01   0.9769E+00
   101   0.2000E+01   0.2591E-01   0.2667E-01   0.7025E+00   0.6928E+01   0.2794E+01   0.9760E+00
   102   0.2020E+01   0.2450E-01   0.2523E-01   0.6769E+00   0.6904E+01   0.2793E+01   0.9748E+00
   103   0.2040E+01   0.2317E-01   0.2387E-01   0.6523E+00   0.6874E+01   0.2790E+01   0.9733E+00
   104   0.2060E+01   0.2192E-01   0.2258E-01   0.6285E+00   0.6839E+01   0.2788E+01   0.9716E+00
   105   0.2080E+01   0.2073E-01   0.2136E-01   0.6055E+00   0.6797E+01   0.2785E+01   0.9695E+00
   106   0.2100E+01   0.1961E-01   0.2021E-01   0.5834E+00   0.6750E+01   0.2782E+01   0.9672E+00
   107   0.2120E+01   0.1855E-01   0.1912E-01   0.5620E+00   0.6697E+01   0.2778E+01   0.9646E+00
   108   0.2140E+01   0.1754E-01   0.1809E-01   0.5415E+00   0.6639E+01   0.2774E+01   0.9618E+00
   109   0.2160E+01   0.1660E-01   0.1711E-01   0.5216E+00   0.6576E+01   0.2769E+01   0.9587E+00
   110   0.2180E+01   0.1570E-01   0.1619E-01   0.5025E+00   0.6508E+01   0.2765E+01   0.9554E+00
   111   0.2200E+01   0.1486E-01   0.1532E-01   0.4841E+00   0.6436E+01   0.2760E+01   0.9519E+00
   112   0.2220E+01   0.1406E-01   0.1449E-01   0.4664E+00   0.6359E+01   0.2754E+01   0.9481E+00
   113   0.2240E+01   0.1331E-01   0.1371E-01   0.4493E+00   0.6278E+01   0.2748E+01   0.9442E+00
   114   0.2260E+01   0.1260E-01   0.1297E-01   0.4328E+00   0.6194E+01   0.2742E+01   0.9401E+00
   115   0.2280E+01   0.1193E-01   0.1227E-01   0.4169E+00   0.6107E+01   0.2736E+01   0.9358E+00
   116   0.2300E+01   0.1129E-01   0.1161E-01   0.4016E+00   0.6017E+01   0.2730E+01   0.9314E+00
   117   0.2320E+01   0.1069E-01   0.1098E-01   0.3869E+00   0.5925E+01   0.2723E+01   0.9268E+00
   118   0.2340E+01   0.1013E-01   0.1039E-01   0.3727E+00   0.5831E+01   0.2716E+01   0.9222E+00
