#   pt       r            w            wL          Qw            A            b           IP
     1   0.0000E+00   0.2170E+03   0.6812E+01   0.8432E+01   0.2170E+03  -0.0000E+00   0.0000E+00
     2   0.2000E-01   0.2024E+03   0.6444E+01   0.8425E+01   0.2322E+03   0.6861E+01   0.5885E+01
     3   0.4000E-01   0.1660E+03   0.6097E+01   0.8383E+01   0.2758E+03   0.1268E+02   0.2011E+02
     4   0.6000E-01   0.1236E+03   0.5768E+01   0.8293E+01   0.3307E+03   0.1640E+02   0.3363E+02
     5   0.8000E-01   0.8778E+02   0.5457E+01   0.8165E+01   0.3523E+03   0.1737E+02   0.3772E+02
     6   0.1000E+00   0.6258E+02   0.5162E+01   0.8015E+01   0.3178E+03   0.1625E+02   0.3300E+02
     7   0.1200E+00   0.4591E+02   0.4884E+01   0.7852E+01   0.2717E+03   0.1482E+02   0.2744E+02
     8   0.1400E+00   0.3438E+02   0.4620E+01   0.7684E+01   0.2539E+03   0.1428E+02   0.2549E+02
     9   0.1600E+00   0.2579E+02   0.4371E+01   0.7516E+01   0.2647E+03   0.1455E+02   0.2648E+02
    10   0.1800E+00   0.1918E+02   0.4135E+01   0.7354E+01   0.2865E+03   0.1502E+02   0.2820E+02
    11   0.2000E+00   0.1417E+02   0.3912E+01   0.7205E+01   0.2966E+03   0.1521E+02   0.2891E+02
    12   0.2200E+00   0.1048E+02   0.3701E+01   0.7070E+01   0.2794E+03   0.1493E+02   0.2785E+02
    13   0.2400E+00   0.7824E+01   0.3502E+01   0.6950E+01   0.2359E+03   0.1419E+02   0.2518E+02
    14   0.2600E+00   0.5950E+01   0.3313E+01   0.6843E+01   0.1815E+03   0.1314E+02   0.2160E+02
    15   0.2800E+00   0.4629E+01   0.3134E+01   0.6747E+01   0.1317E+03   0.1196E+02   0.1787E+02
    16   0.3000E+00   0.3688E+01   0.2965E+01   0.6660E+01   0.9329E+02   0.1077E+02   0.1450E+02
    17   0.3200E+00   0.3007E+01   0.2805E+01   0.6579E+01   0.6602E+02   0.9653E+01   0.1165E+02
    18   0.3400E+00   0.2505E+01   0.2654E+01   0.6504E+01   0.4696E+02   0.8620E+01   0.9288E+01
    19   0.3600E+00   0.2129E+01   0.2511E+01   0.6433E+01   0.3345E+02   0.7651E+01   0.7317E+01
    20   0.3800E+00   0.1844E+01   0.2375E+01   0.6365E+01   0.2375E+02   0.6725E+01   0.5654E+01
    21   0.4000E+00   0.1627E+01   0.2247E+01   0.6299E+01   0.1681E+02   0.5838E+01   0.4260E+01
    22   0.4200E+00   0.1460E+01   0.2126E+01   0.6234E+01   0.1192E+02   0.5001E+01   0.3126E+01
    23   0.4400E+00   0.1331E+01   0.2011E+01   0.6169E+01   0.8578E+01   0.4234E+01   0.2241E+01
