#   pt       r            w            d(ln(w))/dr
     1   0.0000E+00   0.2758E+00   0.0000E+00
     2   0.3000E-01   0.2749E+00  -0.2177E+00
     3   0.6000E-01   0.2722E+00  -0.4342E+00
     4   0.9000E-01   0.2678E+00  -0.6483E+00
     5   0.1200E+00   0.2618E+00  -0.8587E+00
     6   0.1500E+00   0.2544E+00  -0.1064E+01
     7   0.1800E+00   0.2457E+00  -0.1263E+01
     8   0.2100E+00   0.2358E+00  -0.1455E+01
     9   0.2400E+00   0.2252E+00  -0.1638E+01
    10   0.2700E+00   0.2138E+00  -0.1810E+01
    11   0.3000E+00   0.2020E+00  -0.1970E+01
    12   0.3300E+00   0.1900E+00  -0.2117E+01
    13   0.3600E+00   0.1779E+00  -0.2250E+01
    14   0.3900E+00   0.1660E+00  -0.2368E+01
    15   0.4200E+00   0.1544E+00  -0.2468E+01
    16   0.4500E+00   0.1432E+00  -0.2552E+01
    17   0.4800E+00   0.1325E+00  -0.2617E+01
    18   0.5100E+00   0.1224E+00  -0.2665E+01
    19   0.5400E+00   0.1129E+00  -0.2696E+01
    20   0.5700E+00   0.1041E+00  -0.2711E+01
    21   0.6000E+00   0.9600E-01  -0.2711E+01
    22   0.6300E+00   0.8851E-01  -0.2698E+01
    23   0.6600E+00   0.8166E-01  -0.2675E+01
    24   0.6900E+00   0.7539E-01  -0.2645E+01
    25   0.7200E+00   0.6968E-01  -0.2609E+01
    26   0.7500E+00   0.6447E-01  -0.2571E+01
    27   0.7800E+00   0.5972E-01  -0.2534E+01
    28   0.8100E+00   0.5538E-01  -0.2499E+01
    29   0.8400E+00   0.5140E-01  -0.2469E+01
    30   0.8700E+00   0.4775E-01  -0.2445E+01
    31   0.9000E+00   0.4438E-01  -0.2428E+01
    32   0.9300E+00   0.4127E-01  -0.2418E+01
    33   0.9600E+00   0.3839E-01  -0.2416E+01
    34   0.9900E+00   0.3570E-01  -0.2422E+01
    35   0.1020E+01   0.3319E-01  -0.2435E+01
    36   0.1050E+01   0.3084E-01  -0.2455E+01
    37   0.1080E+01   0.2864E-01  -0.2480E+01
    38   0.1110E+01   0.2658E-01  -0.2510E+01
    39   0.1140E+01   0.2464E-01  -0.2545E+01
    40   0.1170E+01   0.2281E-01  -0.2582E+01
    41   0.1200E+01   0.2110E-01  -0.2623E+01
    42   0.1230E+01   0.1949E-01  -0.2665E+01
    43   0.1260E+01   0.1798E-01  -0.2709E+01
    44   0.1290E+01   0.1657E-01  -0.2753E+01
    45   0.1320E+01   0.1524E-01  -0.2797E+01
    46   0.1350E+01   0.1401E-01  -0.2841E+01
    47   0.1380E+01   0.1286E-01  -0.2883E+01
    48   0.1410E+01   0.1178E-01  -0.2925E+01
    49   0.1440E+01   0.1079E-01  -0.2965E+01
    50   0.1470E+01   0.9863E-02  -0.3003E+01
    51   0.1500E+01   0.9008E-02  -0.3039E+01
    52   0.1530E+01   0.8219E-02  -0.3072E+01
    53   0.1560E+01   0.7492E-02  -0.3102E+01
    54   0.1590E+01   0.6824E-02  -0.3129E+01
    55   0.1620E+01   0.6210E-02  -0.3153E+01
    56   0.1650E+01   0.5648E-02  -0.3172E+01
    57   0.1680E+01   0.5134E-02  -0.3188E+01
    58   0.1710E+01   0.4665E-02  -0.3199E+01
    59   0.1740E+01   0.4237E-02  -0.3206E+01
    60   0.1770E+01   0.3849E-02  -0.3208E+01
    61   0.1800E+01   0.3496E-02  -0.3206E+01
