#   pt       r            w            wL          Qw            A            b           IP
     1   0.0000E+00   0.2758E+00   0.7676E+00   0.6324E+00   0.2758E+00  -0.0000E+00   0.0000E+00
     2   0.2000E-01   0.2754E+00   0.7238E+00   0.6323E+00   0.2762E+00   0.1452E+00   0.2636E-02
     3   0.4000E-01   0.2742E+00   0.6825E+00   0.6323E+00   0.2774E+00   0.2901E+00   0.1052E-01
     4   0.6000E-01   0.2722E+00   0.6436E+00   0.6321E+00   0.2794E+00   0.4342E+00   0.2357E-01
     5   0.8000E-01   0.2695E+00   0.6069E+00   0.6318E+00   0.2822E+00   0.5773E+00   0.4166E-01
     6   0.1000E+00   0.2660E+00   0.5723E+00   0.6312E+00   0.2858E+00   0.7189E+00   0.6461E-01
     7   0.1200E+00   0.2618E+00   0.5397E+00   0.6304E+00   0.2903E+00   0.8587E+00   0.9217E-01
     8   0.1400E+00   0.2570E+00   0.5089E+00   0.6293E+00   0.2955E+00   0.9963E+00   0.1241E+00
     9   0.1600E+00   0.2516E+00   0.4799E+00   0.6279E+00   0.3016E+00   0.1131E+01   0.1600E+00
    10   0.1800E+00   0.2457E+00   0.4526E+00   0.6261E+00   0.3084E+00   0.1263E+01   0.1995E+00
    11   0.2000E+00   0.2392E+00   0.4268E+00   0.6239E+00   0.3160E+00   0.1392E+01   0.2422E+00
    12   0.2200E+00   0.2324E+00   0.4024E+00   0.6213E+00   0.3244E+00   0.1517E+01   0.2876E+00
    13   0.2400E+00   0.2252E+00   0.3795E+00   0.6182E+00   0.3335E+00   0.1638E+01   0.3352E+00
    14   0.2600E+00   0.2176E+00   0.3579E+00   0.6147E+00   0.3434E+00   0.1754E+01   0.3844E+00
    15   0.2800E+00   0.2099E+00   0.3375E+00   0.6108E+00   0.3538E+00   0.1865E+01   0.4346E+00
    16   0.3000E+00   0.2020E+00   0.3182E+00   0.6065E+00   0.3648E+00   0.1970E+01   0.4852E+00
    17   0.3200E+00   0.1940E+00   0.3001E+00   0.6017E+00   0.3763E+00   0.2070E+01   0.5356E+00
    18   0.3400E+00   0.1860E+00   0.2830E+00   0.5965E+00   0.3880E+00   0.2163E+01   0.5850E+00
    19   0.3600E+00   0.1779E+00   0.2668E+00   0.5909E+00   0.4000E+00   0.2250E+01   0.6330E+00
    20   0.3800E+00   0.1700E+00   0.2516E+00   0.5849E+00   0.4120E+00   0.2330E+01   0.6788E+00
    21   0.4000E+00   0.1621E+00   0.2373E+00   0.5786E+00   0.4239E+00   0.2403E+01   0.7218E+00
    22   0.4200E+00   0.1544E+00   0.2237E+00   0.5719E+00   0.4354E+00   0.2468E+01   0.7615E+00
    23   0.4400E+00   0.1469E+00   0.2110E+00   0.5649E+00   0.4463E+00   0.2526E+01   0.7974E+00
    24   0.4600E+00   0.1396E+00   0.1990E+00   0.5576E+00   0.4563E+00   0.2575E+01   0.8291E+00
    25   0.4800E+00   0.1325E+00   0.1876E+00   0.5500E+00   0.4654E+00   0.2617E+01   0.8563E+00
    26   0.5000E+00   0.1257E+00   0.1769E+00   0.5422E+00   0.4732E+00   0.2651E+01   0.8787E+00
    27   0.5200E+00   0.1192E+00   0.1668E+00   0.5342E+00   0.4796E+00   0.2678E+01   0.8961E+00
    28   0.5400E+00   0.1129E+00   0.1573E+00   0.5261E+00   0.4844E+00   0.2696E+01   0.9087E+00
    29   0.5600E+00   0.1070E+00   0.1484E+00   0.5177E+00   0.4874E+00   0.2708E+01   0.9165E+00
    30   0.5800E+00   0.1014E+00   0.1399E+00   0.5092E+00   0.4888E+00   0.2713E+01   0.9197E+00
    31   0.6000E+00   0.9600E-01   0.1319E+00   0.5006E+00   0.4883E+00   0.2711E+01   0.9187E+00
    32   0.6200E+00   0.9094E-01   0.1244E+00   0.4918E+00   0.4862E+00   0.2704E+01   0.9139E+00
    33   0.6400E+00   0.8616E-01   0.1173E+00   0.4830E+00   0.4825E+00   0.2692E+01   0.9057E+00
    34   0.6600E+00   0.8166E-01   0.1106E+00   0.4741E+00   0.4774E+00   0.2675E+01   0.8948E+00
    35   0.6800E+00   0.7742E-01   0.1043E+00   0.4651E+00   0.4711E+00   0.2656E+01   0.8816E+00
    36   0.7000E+00   0.7343E-01   0.9837E-01   0.4561E+00   0.4639E+00   0.2633E+01   0.8668E+00
    37   0.7200E+00   0.6968E-01   0.9276E-01   0.4470E+00   0.4560E+00   0.2609E+01   0.8509E+00
    38   0.7400E+00   0.6615E-01   0.8747E-01   0.4380E+00   0.4477E+00   0.2584E+01   0.8346E+00
    39   0.7600E+00   0.6284E-01   0.8249E-01   0.4288E+00   0.4393E+00   0.2559E+01   0.8183E+00
    40   0.7800E+00   0.5972E-01   0.7778E-01   0.4197E+00   0.4310E+00   0.2534E+01   0.8025E+00
    41   0.8000E+00   0.5678E-01   0.7335E-01   0.4106E+00   0.4230E+00   0.2510E+01   0.7877E+00
    42   0.8200E+00   0.5401E-01   0.6917E-01   0.4014E+00   0.4156E+00   0.2488E+01   0.7740E+00
    43   0.8400E+00   0.5140E-01   0.6522E-01   0.3923E+00   0.4089E+00   0.2469E+01   0.7619E+00
    44   0.8600E+00   0.4893E-01   0.6151E-01   0.3832E+00   0.4031E+00   0.2452E+01   0.7516E+00
    45   0.8800E+00   0.4660E-01   0.5800E-01   0.3741E+00   0.3983E+00   0.2438E+01   0.7431E+00
    46   0.9000E+00   0.4438E-01   0.5469E-01   0.3651E+00   0.3946E+00   0.2428E+01   0.7367E+00
    47   0.9200E+00   0.4228E-01   0.5157E-01   0.3561E+00   0.3920E+00   0.2420E+01   0.7323E+00
    48   0.9400E+00   0.4029E-01   0.4863E-01   0.3471E+00   0.3906E+00   0.2417E+01   0.7301E+00
    49   0.9600E+00   0.3839E-01   0.4586E-01   0.3382E+00   0.3905E+00   0.2416E+01   0.7299E+00
    50   0.9800E+00   0.3657E-01   0.4325E-01   0.3293E+00   0.3917E+00   0.2419E+01   0.7317E+00
    51   0.1000E+01   0.3484E-01   0.4078E-01   0.3205E+00   0.3941E+00   0.2426E+01   0.7356E+00
    52   0.1020E+01   0.3319E-01   0.3846E-01   0.3118E+00   0.3979E+00   0.2435E+01   0.7413E+00
    53   0.1040E+01   0.3161E-01   0.3626E-01   0.3032E+00   0.4030E+00   0.2448E+01   0.7488E+00
    54   0.1060E+01   0.3010E-01   0.3420E-01   0.2946E+00   0.4094E+00   0.2463E+01   0.7580E+00
    55   0.1080E+01   0.2864E-01   0.3225E-01   0.2862E+00   0.4171E+00   0.2480E+01   0.7688E+00
    56   0.1100E+01   0.2725E-01   0.3041E-01   0.2778E+00   0.4261E+00   0.2500E+01   0.7810E+00
    57   0.1120E+01   0.2592E-01   0.2868E-01   0.2696E+00   0.4365E+00   0.2521E+01   0.7946E+00
    58   0.1140E+01   0.2464E-01   0.2704E-01   0.2615E+00   0.4482E+00   0.2545E+01   0.8094E+00
    59   0.1160E+01   0.2341E-01   0.2550E-01   0.2535E+00   0.4612E+00   0.2570E+01   0.8253E+00
    60   0.1180E+01   0.2223E-01   0.2405E-01   0.2457E+00   0.4755E+00   0.2596E+01   0.8422E+00
    61   0.1200E+01   0.2110E-01   0.2267E-01   0.2380E+00   0.4912E+00   0.2623E+01   0.8599E+00
    62   0.1220E+01   0.2002E-01   0.2138E-01   0.2304E+00   0.5081E+00   0.2651E+01   0.8784E+00
