#   pt       r            w            d(ln(w))/dr
     1   0.0000E+00   0.1670E+03   0.0000E+00
     2   0.3000E-01   0.1534E+03  -0.5604E+01
     3   0.6000E-01   0.1197E+03  -0.1082E+02
     4   0.9000E-01   0.8090E+02  -0.1510E+02
     5   0.1200E+00   0.4925E+02  -0.1761E+02
     6   0.1500E+00   0.2885E+02  -0.1760E+02
     7   0.1800E+00   0.1751E+02  -0.1548E+02
     8   0.2100E+00   0.1142E+02  -0.1314E+02
     9   0.2400E+00   0.7869E+01  -0.1189E+02
    10   0.2700E+00   0.5547E+01  -0.1150E+02
    11   0.3000E+00   0.3944E+01  -0.1120E+02
    12   0.3300E+00   0.2846E+01  -0.1044E+02
    13   0.3600E+00   0.2123E+01  -0.9013E+01
    14   0.3900E+00   0.1666E+01  -0.7107E+01
    15   0.4200E+00   0.1387E+01  -0.5146E+01
    16   0.4500E+00   0.1219E+01  -0.3542E+01
    17   0.4800E+00   0.1115E+01  -0.2469E+01
    18   0.5100E+00   0.1046E+01  -0.1875E+01
    19   0.5400E+00   0.9932E+00  -0.1616E+01
    20   0.5700E+00   0.9474E+00  -0.1553E+01
    21   0.6000E+00   0.9039E+00  -0.1591E+01
    22   0.6300E+00   0.8608E+00  -0.1672E+01
    23   0.6600E+00   0.8175E+00  -0.1765E+01
    24   0.6900E+00   0.7743E+00  -0.1856E+01
    25   0.7200E+00   0.7314E+00  -0.1939E+01
    26   0.7500E+00   0.6893E+00  -0.2012E+01
    27   0.7800E+00   0.6483E+00  -0.2076E+01
    28   0.8100E+00   0.6087E+00  -0.2131E+01
    29   0.8400E+00   0.5705E+00  -0.2179E+01
    30   0.8700E+00   0.5341E+00  -0.2221E+01
    31   0.9000E+00   0.4994E+00  -0.2257E+01
    32   0.9300E+00   0.4665E+00  -0.2290E+01
    33   0.9600E+00   0.4353E+00  -0.2319E+01
    34   0.9900E+00   0.4059E+00  -0.2346E+01
    35   0.1020E+01   0.3782E+00  -0.2370E+01
    36   0.1050E+01   0.3521E+00  -0.2393E+01
    37   0.1080E+01   0.3276E+00  -0.2415E+01
    38   0.1110E+01   0.3046E+00  -0.2435E+01
    39   0.1140E+01   0.2831E+00  -0.2455E+01
    40   0.1170E+01   0.2629E+00  -0.2474E+01
    41   0.1200E+01   0.2440E+00  -0.2493E+01
    42   0.1230E+01   0.2264E+00  -0.2511E+01
    43   0.1260E+01   0.2099E+00  -0.2529E+01
    44   0.1290E+01   0.1945E+00  -0.2546E+01
    45   0.1320E+01   0.1801E+00  -0.2563E+01
    46   0.1350E+01   0.1668E+00  -0.2580E+01
    47   0.1380E+01   0.1543E+00  -0.2596E+01
    48   0.1410E+01   0.1427E+00  -0.2611E+01
    49   0.1440E+01   0.1319E+00  -0.2627E+01
    50   0.1470E+01   0.1219E+00  -0.2641E+01
    51   0.1500E+01   0.1126E+00  -0.2655E+01
    52   0.1530E+01   0.1040E+00  -0.2668E+01
    53   0.1560E+01   0.9595E-01  -0.2680E+01
    54   0.1590E+01   0.8852E-01  -0.2691E+01
    55   0.1620E+01   0.8164E-01  -0.2701E+01
    56   0.1650E+01   0.7528E-01  -0.2711E+01
    57   0.1680E+01   0.6939E-01  -0.2719E+01
    58   0.1710E+01   0.6395E-01  -0.2726E+01
    59   0.1740E+01   0.5892E-01  -0.2732E+01
    60   0.1770E+01   0.5428E-01  -0.2737E+01
    61   0.1800E+01   0.5000E-01  -0.2741E+01
    62   0.1830E+01   0.4605E-01  -0.2743E+01
    63   0.1860E+01   0.4241E-01  -0.2745E+01
    64   0.1890E+01   0.3906E-01  -0.2745E+01
    65   0.1920E+01   0.3597E-01  -0.2745E+01
    66   0.1950E+01   0.3313E-01  -0.2743E+01
    67   0.1980E+01   0.3051E-01  -0.2741E+01
    68   0.2010E+01   0.2810E-01  -0.2738E+01
    69   0.2040E+01   0.2589E-01  -0.2734E+01
    70   0.2070E+01   0.2385E-01  -0.2730E+01
    71   0.2100E+01   0.2198E-01  -0.2725E+01
    72   0.2130E+01   0.2025E-01  -0.2720E+01
    73   0.2160E+01   0.1867E-01  -0.2714E+01
    74   0.2190E+01   0.1721E-01  -0.2708E+01
    75   0.2220E+01   0.1587E-01  -0.2702E+01
    76   0.2250E+01   0.1463E-01  -0.2696E+01
    77   0.2280E+01   0.1350E-01  -0.2690E+01
    78   0.2310E+01   0.1245E-01  -0.2684E+01
    79   0.2340E+01   0.1149E-01  -0.2678E+01
    80   0.2370E+01   0.1060E-01  -0.2672E+01
    81   0.2400E+01   0.9789E-02  -0.2667E+01
    82   0.2430E+01   0.9037E-02  -0.2662E+01
    83   0.2460E+01   0.8343E-02  -0.2658E+01
    84   0.2490E+01   0.7704E-02  -0.2655E+01
    85   0.2520E+01   0.7115E-02  -0.2652E+01
    86   0.2550E+01   0.6571E-02  -0.2650E+01
    87   0.2580E+01   0.6069E-02  -0.2648E+01
    88   0.2610E+01   0.5606E-02  -0.2648E+01
    89   0.2640E+01   0.5178E-02  -0.2648E+01
    90   0.2670E+01   0.4782E-02  -0.2649E+01
    91   0.2700E+01   0.4417E-02  -0.2651E+01
    92   0.2730E+01   0.4079E-02  -0.2653E+01
    93   0.2760E+01   0.3767E-02  -0.2657E+01
    94   0.2790E+01   0.3478E-02  -0.2662E+01
    95   0.2820E+01   0.3211E-02  -0.2667E+01
    96   0.2850E+01   0.2963E-02  -0.2674E+01
    97   0.2880E+01   0.2735E-02  -0.2681E+01
    98   0.2910E+01   0.2523E-02  -0.2689E+01
    99   0.2940E+01   0.2327E-02  -0.2698E+01
   100   0.2970E+01   0.2146E-02  -0.2708E+01
   101   0.3000E+01   0.1978E-02  -0.2719E+01
   102   0.3030E+01   0.1823E-02  -0.2731E+01
   103   0.3060E+01   0.1679E-02  -0.2743E+01
   104   0.3090E+01   0.1546E-02  -0.2756E+01
   105   0.3120E+01   0.1423E-02  -0.2770E+01
   106   0.3150E+01   0.1309E-02  -0.2785E+01
   107   0.3180E+01   0.1204E-02  -0.2800E+01
   108   0.3210E+01   0.1107E-02  -0.2816E+01
   109   0.3240E+01   0.1017E-02  -0.2832E+01
   110   0.3270E+01   0.9340E-03  -0.2849E+01
   111   0.3300E+01   0.8572E-03  -0.2867E+01
   112   0.3330E+01   0.7864E-03  -0.2885E+01
   113   0.3360E+01   0.7209E-03  -0.2904E+01
   114   0.3390E+01   0.6606E-03  -0.2923E+01
   115   0.3420E+01   0.6050E-03  -0.2943E+01
   116   0.3450E+01   0.5537E-03  -0.2963E+01
   117   0.3480E+01   0.5064E-03  -0.2983E+01
   118   0.3510E+01   0.4629E-03  -0.3004E+01
   119   0.3540E+01   0.4229E-03  -0.3025E+01
   120   0.3570E+01   0.3861E-03  -0.3047E+01
   121   0.3600E+01   0.3522E-03  -0.3069E+01
   122   0.3630E+01   0.3212E-03  -0.3091E+01
   123   0.3660E+01   0.2926E-03  -0.3113E+01
   124   0.3690E+01   0.2664E-03  -0.3136E+01
   125   0.3720E+01   0.2424E-03  -0.3159E+01
   126   0.3750E+01   0.2204E-03  -0.3182E+01
   127   0.3780E+01   0.2003E-03  -0.3205E+01
   128   0.3810E+01   0.1819E-03  -0.3228E+01
   129   0.3840E+01   0.1650E-03  -0.3252E+01
   130   0.3870E+01   0.1496E-03  -0.3276E+01
   131   0.3900E+01   0.1356E-03  -0.3299E+01
   132   0.3930E+01   0.1228E-03  -0.3323E+01
   133   0.3960E+01   0.1111E-03  -0.3348E+01
   134   0.3990E+01   0.1004E-03  -0.3372E+01
