#   pt       r            w            wL          Qw            A            b           IP
     1   0.0000E+00   0.1670E+03   0.6724E+01   0.8737E+01   0.1670E+03  -0.0000E+00   0.0000E+00
     2   0.2000E-01   0.1608E+03   0.6368E+01   0.8731E+01   0.1734E+03   0.3758E+01   0.1765E+01
     3   0.4000E-01   0.1438E+03   0.6030E+01   0.8696E+01   0.1934E+03   0.7409E+01   0.6861E+01
     4   0.6000E-01   0.1197E+03   0.5711E+01   0.8613E+01   0.2292E+03   0.1082E+02   0.1464E+02
     5   0.8000E-01   0.9351E+02   0.5408E+01   0.8482E+01   0.2826E+03   0.1383E+02   0.2389E+02
     6   0.1000E+00   0.6918E+02   0.5121E+01   0.8318E+01   0.3489E+03   0.1618E+02   0.3273E+02
     7   0.1200E+00   0.4925E+02   0.4849E+01   0.8141E+01   0.4076E+03   0.1761E+02   0.3877E+02
     8   0.1400E+00   0.3446E+02   0.4592E+01   0.7966E+01   0.4221E+03   0.1789E+02   0.4003E+02
     9   0.1600E+00   0.2426E+02   0.4349E+01   0.7803E+01   0.3713E+03   0.1705E+02   0.3634E+02
    10   0.1800E+00   0.1751E+02   0.4118E+01   0.7654E+01   0.2842E+03   0.1548E+02   0.2997E+02
    11   0.2000E+00   0.1307E+02   0.3900E+01   0.7517E+01   0.2076E+03   0.1383E+02   0.2390E+02
    12   0.2200E+00   0.1004E+02   0.3693E+01   0.7390E+01   0.1601E+03   0.1259E+02   0.1980E+02
    13   0.2400E+00   0.7869E+01   0.3497E+01   0.7272E+01   0.1364E+03   0.1189E+02   0.1766E+02
    14   0.2600E+00   0.6225E+01   0.3312E+01   0.7163E+01   0.1264E+03   0.1158E+02   0.1676E+02
    15   0.2800E+00   0.4946E+01   0.3136E+01   0.7061E+01   0.1212E+03   0.1142E+02   0.1631E+02
    16   0.3000E+00   0.3944E+01   0.2970E+01   0.6968E+01   0.1135E+03   0.1120E+02   0.1568E+02
    17   0.3200E+00   0.3165E+01   0.2813E+01   0.6882E+01   0.9906E+02   0.1076E+02   0.1448E+02
    18   0.3400E+00   0.2569E+01   0.2663E+01   0.6804E+01   0.7786E+02   0.1003E+02   0.1258E+02
    19   0.3600E+00   0.2123E+01   0.2522E+01   0.6733E+01   0.5446E+02   0.9013E+01   0.1015E+02
    20   0.3800E+00   0.1794E+01   0.2388E+01   0.6666E+01   0.3440E+02   0.7772E+01   0.7551E+01
    21   0.4000E+00   0.1557E+01   0.2262E+01   0.6602E+01   0.2042E+02   0.6435E+01   0.5177E+01
    22   0.4200E+00   0.1387E+01   0.2142E+01   0.6540E+01   0.1204E+02   0.5146E+01   0.3310E+01
    23   0.4400E+00   0.1266E+01   0.2028E+01   0.6478E+01   0.7423E+01   0.4020E+01   0.2021E+01
    24   0.4600E+00   0.1179E+01   0.1921E+01   0.6416E+01   0.4962E+01   0.3124E+01   0.1220E+01
    25   0.4800E+00   0.1115E+01   0.1819E+01   0.6353E+01   0.3648E+01   0.2469E+01   0.7620E+00
    26   0.5000E+00   0.1066E+01   0.1723E+01   0.6287E+01   0.2940E+01   0.2028E+01   0.5143E+00
    27   0.5200E+00   0.1027E+01   0.1631E+01   0.6219E+01   0.2564E+01   0.1759E+01   0.3868E+00
    28   0.5400E+00   0.9932E+00   0.1545E+01   0.6147E+01   0.2377E+01   0.1616E+01   0.3264E+00
    29   0.5600E+00   0.9622E+00   0.1463E+01   0.6073E+01   0.2304E+01   0.1559E+01   0.3039E+00
    30   0.5800E+00   0.9328E+00   0.1385E+01   0.5996E+01   0.2303E+01   0.1558E+01   0.3035E+00
    31   0.6000E+00   0.9039E+00   0.1312E+01   0.5915E+01   0.2348E+01   0.1591E+01   0.3164E+00
